Plan,Month,At_Risk,Exits,Avg_Hazard
premium-plus,1,4272,0,0.0
premium-plus,2,4243,31,0.0073061513080367665
premium-plus,3,4228,10,0.0023651844843897824
premium-plus,4,4214,9,0.0021357380161366873
premium-plus,5,4210,4,0.0009501187648456057
premium-plus,6,4207,4,0.0009507962918944616
premium-plus,7,4205,2,0.0004756242568370987
premium-plus,8,4196,3,0.0007149666348903718
premium-plus,9,4192,1,0.00023854961832061068
premium-plus,10,4174,0,0.0
premium-plus,11,4148,1,0.00024108003857280618
premium-plus,12,4131,2,0.0004841442749939482
premium-plus,13,4091,0,0.0
premium-plus,14,2359,1863,0.7897414158541755
premium-plus,15,2313,31,0.01340250756593169
premium-plus,16,2286,6,0.0026246719160104987
premium-plus,17,2276,8,0.0035149384885764497
premium-plus,18,2254,11,0.0048802129547471165
premium-plus,19,2223,9,0.004048582995951417
premium-plus,20,2200,9,0.004090909090909091
premium-plus,21,2179,15,0.006883891693437357
premium-plus,22,2167,6,0.0027688047992616522
premium-plus,23,2156,4,0.0018552875695732839
premium-plus,24,2134,11,0.005154639175257732
premium-plus,25,2112,21,0.009943181818181818
premium-plus,26,1732,396,0.22863741339491916
premium-plus,27,1651,50,0.03028467595396729
premium-plus,28,1605,17,0.01059190031152648
premium-plus,29,1603,3,0.0018714909544603868
premium-plus,30,1602,2,0.0012484394506866417
premium-plus,31,1526,5,0.00327653997378768
premium-plus,32,1498,12,0.00801068090787717
premium-plus,33,1441,11,0.007633587786259542
premium-plus,34,1433,1,0.0006978367062107466
premium-plus,35,1422,3,0.002109704641350211
premium-plus,36,1412,6,0.00424929178470255
premium-plus,37,1385,23,0.01660649819494585
premium-plus,38,1229,149,0.12123677786818551
premium-plus,39,1137,35,0.030782761653474055
premium-plus,40,1129,7,0.006200177147918512
premium-plus,41,1110,7,0.006306306306306306
premium-plus,42,1062,3,0.002824858757062147
premium-plus,43,1019,3,0.002944062806673209
premium-plus,44,988,6,0.006072874493927126
premium-plus,45,969,9,0.009287925696594427
premium-plus,46,959,2,0.0020855057351407717
premium-plus,47,955,2,0.0020942408376963353
premium-plus,48,942,3,0.0031847133757961785
premium-plus-monthly,1,1833,0,0.0
premium-plus-monthly,2,1826,8,0.004381161007667032
premium-plus-monthly,3,1672,151,0.090311004784689
premium-plus-monthly,4,1587,86,0.05419029615626969
premium-plus-monthly,5,1521,64,0.042077580539119
premium-plus-monthly,6,1475,53,0.03593220338983051
premium-plus-monthly,7,1431,53,0.037037037037037035
premium-plus-monthly,8,1404,32,0.022792022792022793
premium-plus-monthly,9,1376,35,0.025436046511627907
premium-plus-monthly,10,1329,32,0.024078254326561323
premium-plus-monthly,11,1277,39,0.030540328895849646
premium-plus-monthly,12,1253,26,0.020750199521149242
premium-plus-monthly,13,1212,25,0.020627062706270627
premium-plus-monthly,14,1130,32,0.02831858407079646
premium-plus-monthly,15,1083,36,0.0332409972299169
premium-plus-monthly,16,1047,21,0.02005730659025788
premium-plus-monthly,17,1019,13,0.012757605495583905
premium-plus-monthly,18,987,19,0.019250253292806486
premium-plus-monthly,19,950,28,0.029473684210526315
premium-plus-monthly,20,921,11,0.011943539630836048
premium-plus-monthly,21,893,21,0.023516237402015677
premium-plus-monthly,22,869,22,0.02531645569620253
premium-plus-monthly,23,851,13,0.01527614571092832
premium-plus-monthly,24,827,11,0.013301088270858524
premium-plus-monthly,25,811,15,0.018495684340320593
premium-plus-monthly,26,785,18,0.022929936305732482
premium-plus-monthly,27,763,15,0.019659239842726082
premium-plus-monthly,28,741,10,0.01349527665317139
premium-plus-monthly,29,730,12,0.01643835616438356
premium-plus-monthly,30,712,14,0.019662921348314606
premium-plus-monthly,31,668,6,0.008982035928143712
premium-plus-monthly,32,651,7,0.010752688172043012
premium-plus-monthly,33,621,12,0.01932367149758454
premium-plus-monthly,34,603,10,0.01658374792703151
premium-plus-monthly,35,594,7,0.011784511784511785
premium-plus-monthly,36,580,17,0.029310344827586206
premium-plus-monthly,37,575,2,0.0034782608695652175
premium-plus-monthly,38,555,6,0.010810810810810811
premium-plus-monthly,39,532,10,0.018796992481203006
premium-plus-monthly,40,523,11,0.021032504780114723
premium-plus-monthly,41,514,4,0.007782101167315175
premium-plus-monthly,42,495,7,0.014141414141414142
premium-plus-monthly,43,477,6,0.012578616352201259
premium-plus-monthly,44,463,8,0.017278617710583154
premium-plus-monthly,45,459,4,0.008714596949891068
premium-plus-monthly,46,443,14,0.03160270880361174
premium-plus-monthly,47,433,5,0.011547344110854504
premium-plus-monthly,48,426,5,0.011737089201877934
