Plan,Cohort Year,Month,At_Risk,Retention
premium-plus,2019,1,302,1.0
premium-plus,2019,2,302,1.0
premium-plus,2019,3,301,0.9966887417218543
premium-plus,2019,4,300,0.9933774834437086
premium-plus,2019,5,300,0.9933774834437086
premium-plus,2019,6,300,0.9933774834437086
premium-plus,2019,7,300,0.9933774834437086
premium-plus,2019,8,299,0.9900662251655629
premium-plus,2019,9,299,0.9900662251655629
premium-plus,2019,10,299,0.9900662251655629
premium-plus,2019,11,299,0.9900662251655629
premium-plus,2019,12,299,0.9900662251655629
premium-plus,2019,13,299,0.9900662251655629
premium-plus,2019,14,208,0.6887417218543046
premium-plus,2019,15,205,0.6788079470198676
premium-plus,2019,16,204,0.6754966887417219
premium-plus,2019,17,203,0.6721854304635762
premium-plus,2019,18,202,0.6688741721854304
premium-plus,2019,19,202,0.6688741721854304
premium-plus,2019,20,202,0.6688741721854304
premium-plus,2019,21,202,0.6688741721854304
premium-plus,2019,22,202,0.6688741721854304
premium-plus,2019,23,202,0.6688741721854304
premium-plus,2019,24,202,0.6688741721854304
premium-plus,2019,25,198,0.6556291390728477
premium-plus,2019,26,172,0.5695364238410596
premium-plus,2019,27,170,0.5629139072847682
premium-plus,2019,28,170,0.5629139072847682
premium-plus,2019,29,170,0.5629139072847682
premium-plus,2019,30,170,0.5629139072847682
premium-plus,2019,31,170,0.5629139072847682
premium-plus,2019,32,169,0.5596026490066225
premium-plus,2019,33,169,0.5596026490066225
premium-plus,2019,34,168,0.5562913907284768
premium-plus,2019,35,166,0.5496688741721855
premium-plus,2019,36,166,0.5496688741721855
premium-plus,2019,37,165,0.5463576158940397
premium-plus,2019,38,158,0.5231788079470199
premium-plus,2019,39,158,0.5231788079470199
premium-plus,2019,40,158,0.5231788079470199
premium-plus,2019,41,158,0.5231788079470199
premium-plus,2019,42,158,0.5231788079470199
premium-plus,2019,43,158,0.5231788079470199
premium-plus,2019,44,158,0.5231788079470199
premium-plus,2019,45,158,0.5231788079470199
premium-plus,2019,46,158,0.5231788079470199
premium-plus,2019,47,158,0.5231788079470199
premium-plus,2019,48,158,0.5231788079470199
premium-plus,2020,1,970,1.0
premium-plus,2020,2,962,0.9917525773195877
premium-plus,2020,3,961,0.9907216494845361
premium-plus,2020,4,961,0.9907216494845361
premium-plus,2020,5,961,0.9907216494845361
premium-plus,2020,6,960,0.9896907216494846
premium-plus,2020,7,960,0.9896907216494846
premium-plus,2020,8,959,0.988659793814433
premium-plus,2020,9,959,0.988659793814433
premium-plus,2020,10,959,0.988659793814433
premium-plus,2020,11,959,0.988659793814433
premium-plus,2020,12,959,0.988659793814433
premium-plus,2020,13,959,0.988659793814433
premium-plus,2020,14,566,0.5835051546391753
premium-plus,2020,15,563,0.5804123711340207
premium-plus,2020,16,560,0.5773195876288659
premium-plus,2020,17,559,0.5762886597938144
premium-plus,2020,18,558,0.5752577319587628
premium-plus,2020,19,556,0.5731958762886598
premium-plus,2020,20,554,0.5711340206185567
premium-plus,2020,21,553,0.5701030927835051
premium-plus,2020,22,550,0.5670103092783505
premium-plus,2020,23,549,0.565979381443299
premium-plus,2020,24,548,0.5649484536082474
premium-plus,2020,25,543,0.5597938144329897
premium-plus,2020,26,472,0.4865979381443299
premium-plus,2020,27,466,0.48041237113402063
premium-plus,2020,28,463,0.477319587628866
premium-plus,2020,29,463,0.477319587628866
premium-plus,2020,30,463,0.477319587628866
premium-plus,2020,31,463,0.477319587628866
premium-plus,2020,32,461,0.47525773195876286
premium-plus,2020,33,459,0.4731958762886598
premium-plus,2020,34,459,0.4731958762886598
premium-plus,2020,35,459,0.4731958762886598
premium-plus,2020,36,458,0.47216494845360824
premium-plus,2020,37,455,0.4690721649484536
premium-plus,2020,38,425,0.4381443298969072
premium-plus,2020,39,414,0.4268041237113402
premium-plus,2020,40,411,0.42371134020618556
premium-plus,2020,41,410,0.422680412371134
premium-plus,2020,42,410,0.422680412371134
premium-plus,2020,43,410,0.422680412371134
premium-plus,2020,44,408,0.42061855670103093
premium-plus,2020,45,403,0.4154639175257732
premium-plus,2020,46,403,0.4154639175257732
premium-plus,2020,47,403,0.4154639175257732
premium-plus,2020,48,403,0.4154639175257732
premium-plus,2021,1,853,1.0
premium-plus,2021,2,849,0.9953106682297772
premium-plus,2021,3,846,0.9917936694021102
premium-plus,2021,4,845,0.9906213364595545
premium-plus,2021,5,844,0.9894490035169988
premium-plus,2021,6,843,0.9882766705744431
premium-plus,2021,7,843,0.9882766705744431
premium-plus,2021,8,843,0.9882766705744431
premium-plus,2021,9,842,0.9871043376318874
premium-plus,2021,10,842,0.9871043376318874
premium-plus,2021,11,841,0.9859320046893317
premium-plus,2021,12,841,0.9859320046893317
premium-plus,2021,13,841,0.9859320046893317
premium-plus,2021,14,507,0.5943728018757327
premium-plus,2021,15,503,0.5896834701055099
premium-plus,2021,16,503,0.5896834701055099
premium-plus,2021,17,501,0.5873388042203986
premium-plus,2021,18,501,0.5873388042203986
premium-plus,2021,19,501,0.5873388042203986
premium-plus,2021,20,499,0.5849941383352872
premium-plus,2021,21,495,0.5803048065650644
premium-plus,2021,22,495,0.5803048065650644
premium-plus,2021,23,494,0.5791324736225087
premium-plus,2021,24,493,0.5779601406799532
premium-plus,2021,25,490,0.5744431418522861
premium-plus,2021,26,433,0.5076201641266119
premium-plus,2021,27,424,0.4970691676436108
premium-plus,2021,28,423,0.4958968347010551
premium-plus,2021,29,423,0.4958968347010551
premium-plus,2021,30,422,0.4947245017584994
premium-plus,2021,31,422,0.4947245017584994
premium-plus,2021,32,420,0.492379835873388
premium-plus,2021,33,417,0.488862837045721
premium-plus,2021,34,417,0.488862837045721
premium-plus,2021,35,415,0.48651817116060964
premium-plus,2021,36,414,0.48534583821805394
premium-plus,2021,37,411,0.48182883939038684
premium-plus,2021,38,385,0.451348182883939
premium-plus,2021,39,380,0.4454865181711606
